,image_path,caption,label
0,/home/rinzler/Github/Image-Text-Matching/data/images/1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,1
1,/home/rinzler/Github/Image-Text-Matching/data/images/1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .,1
2,/home/rinzler/Github/Image-Text-Matching/data/images/1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .,1
3,/home/rinzler/Github/Image-Text-Matching/data/images/1001773457_577c3a7d70.jpg,A tan and black dog opens its mouth for a red ball .,0
4,/home/rinzler/Github/Image-Text-Matching/data/images/1001773457_577c3a7d70.jpg,The little girl is being swung around by her arms .,0
5,/home/rinzler/Github/Image-Text-Matching/data/images/1001773457_577c3a7d70.jpg,A man in red shorts swinging on a rope over a lake .,0
6,/home/rinzler/Github/Image-Text-Matching/data/images/1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,1
7,/home/rinzler/Github/Image-Text-Matching/data/images/1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .,1
8,/home/rinzler/Github/Image-Text-Matching/data/images/1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,1
9,/home/rinzler/Github/Image-Text-Matching/data/images/1002674143_1b742ab4b8.jpg,Runners in a race run down a busy street,0
10,/home/rinzler/Github/Image-Text-Matching/data/images/1002674143_1b742ab4b8.jpg,A woman is sitting with a girl on a fence in front of a waterfall .,0
11,/home/rinzler/Github/Image-Text-Matching/data/images/1002674143_1b742ab4b8.jpg,Four medium-sized dogs wrestle with each other on a grass field .,0
12,/home/rinzler/Github/Image-Text-Matching/data/images/1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .,1
13,/home/rinzler/Github/Image-Text-Matching/data/images/1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,1
14,/home/rinzler/Github/Image-Text-Matching/data/images/1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,1
15,/home/rinzler/Github/Image-Text-Matching/data/images/1003163366_44323f5815.jpg,A dog is jumping over a barrier at a agility competition .,0
16,/home/rinzler/Github/Image-Text-Matching/data/images/1003163366_44323f5815.jpg,A little girl smiles as she wears a white bowl on the top of her head .,0
17,/home/rinzler/Github/Image-Text-Matching/data/images/1003163366_44323f5815.jpg,Two smiling boys with goggles on play in an inflatable swimming pool with water up to their waists .,0
18,/home/rinzler/Github/Image-Text-Matching/data/images/1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,1
19,/home/rinzler/Github/Image-Text-Matching/data/images/1009434119_febe49276a.jpg,A black and white dog is running through the grass .,1
20,/home/rinzler/Github/Image-Text-Matching/data/images/1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .,1
21,/home/rinzler/Github/Image-Text-Matching/data/images/1009434119_febe49276a.jpg,Two small dogs playing in a grassy area with a large white and red striped ball .,0
22,/home/rinzler/Github/Image-Text-Matching/data/images/1009434119_febe49276a.jpg,A breakdancer is standing on one hand with a look of excitement,0
23,/home/rinzler/Github/Image-Text-Matching/data/images/1009434119_febe49276a.jpg,A model on a ladder in front of a rustic building .,0
24,/home/rinzler/Github/Image-Text-Matching/data/images/1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it .",1
25,/home/rinzler/Github/Image-Text-Matching/data/images/1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .,1
26,/home/rinzler/Github/Image-Text-Matching/data/images/1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .,1
27,/home/rinzler/Github/Image-Text-Matching/data/images/1012212859_01547e3f17.jpg,A little girl with red hair and a teal tracksuit on a swing .,0
28,/home/rinzler/Github/Image-Text-Matching/data/images/1012212859_01547e3f17.jpg,A lady in red and black grins at the camera at a costume party .,0
29,/home/rinzler/Github/Image-Text-Matching/data/images/1012212859_01547e3f17.jpg,A dog in a field with a Frisbee .,0
30,/home/rinzler/Github/Image-Text-Matching/data/images/1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .,1
31,/home/rinzler/Github/Image-Text-Matching/data/images/1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .,1
32,/home/rinzler/Github/Image-Text-Matching/data/images/1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,1
33,/home/rinzler/Github/Image-Text-Matching/data/images/1015118661_980735411b.jpg,A person in green surfing a wave .,0
34,/home/rinzler/Github/Image-Text-Matching/data/images/1015118661_980735411b.jpg,Two boys standing holding the ankle of one crossed leg .,0
